,state,month,positiveIncrease,totalTestResultsIncrease,change,population,per_capita
340,WI,8,26816,486679,-0.01887896970583931,5813568,0.004612657837665269
341,WI,9,71585,779990,1.6694883651551313,5813568,0.01231343643008906
342,WV,4,787,51675,0.2296875,1805832,0.00043581019718334817
343,WV,5,862,62486,0.09529860228716645,1805832,0.00047734229983741565
344,WV,6,2118,82813,1.45707656612529,1805832,0.0011728665789508658
345,WV,7,3867,130688,0.8257790368271954,1805832,0.0021413952128437196
346,WV,8,4546,143315,0.1755883113524696,1805832,0.0025173991822052106
347,WV,9,5998,161450,0.31940167179938406,1805832,0.003321460689587957
349,WY,4,318,10755,-0.16535433070866143,577737,0.0005504234625789935
350,WY,5,359,17356,0.1289308176100629,577737,0.0006213900096410651
351,WY,6,891,29102,1.4818941504178273,577737,0.0015422242300562367
352,WY,7,1232,38808,0.38271604938271603,577737,0.0021324581946456605
353,WY,8,1209,37964,-0.018668831168831168,577737,0.0020926476926352304
354,WY,9,3785,84702,2.130686517783292,577737,0.006551423917803429
