,state,month,positiveIncrease,covid_change,population,covid_percap,weighted_pax,weighted_percap
249,TX,7,249019,0.35542673633790556,28701845,0.008676062462186664,9221.255775632271,0.0003212774570983946
250,TX,8,142811,-0.42650560800581483,28701845,0.0049756731666553144,6027.442114462617,0.00021000190456267243
251,TX,9,141678,-0.007933562540700656,28701845,0.004936198352405568,6652.412014824617,0.0002317764594863019
252,UT,4,4337,0.8025768911055695,3161105,0.0013719885925965762,75.46739895898047,2.387374002413095e-05
253,UT,5,7564,0.7440627161632465,3161105,0.0023928341513489745,175.04552379625193,5.537478944744067e-05
254,UT,6,16165,1.1370967741935485,3161105,0.0051137181460280505,824.9160985036375,0.00026095814549141437
255,UT,7,15498,-0.041261985771729015,3161105,0.004902715980646008,1480.416314680275,0.0004683224108912153
256,UT,8,12462,-0.1958962446767325,3161105,0.003942292331320851,1007.8321489623934,0.00031882273729040746
257,UT,9,30525,1.4494463168030816,3161105,0.009656433430714892,1061.1283291251004,0.0003356827214297217
258,VA,4,21642,2.524181729360039,8517685,0.0025408312235073263,93.71282367753406,1.1002147141803677e-05
259,VA,5,26693,0.23338878107383798,8517685,0.0031338327256760492,241.21716588039584,2.8319568742022727e-05
260,VA,6,17937,-0.3280260742516765,8517685,0.002105853879311104,1580.1268542276387,0.00018551130433065306
261,VA,7,32395,0.806043374031332,8517685,0.003803263445407995,2708.6398781293437,0.0003180018840951906
262,VA,8,29733,-0.08217317487266551,8517685,0.0034907372132216676,1737.0547937266072,0.00020393508256370214
263,VA,9,27039,-0.090606396932701,8517685,0.0031744540916927547,1758.9181133399775,0.0002065018973277337
264,VT,4,169,-0.7764550264550265,626299,0.00026983916627681026,2.268968049897869,3.6228192123855682e-06
265,VT,5,195,0.15384615384615374,626299,0.00031135288416555033,7.896553694119645,1.260828085965273e-05
266,VT,6,180,-0.07692307692307687,626299,0.00028740266230666185,43.429740286555756,6.934346100912783e-05
267,VT,7,196,0.0888888888888888,626299,0.0003129495656228096,67.24768563913861,0.0001073731327036106
