,origin_state,dest_state,month,monthly_pax
446,AL,IL,7.0,2018.6577146035243
447,AL,IL,8.0,2145.378919287634
448,AL,IL,9.0,2185.963366108842
449,AL,IN,3.0,931.3826433754555
450,AL,IN,4.0,35.8440068505988
451,AL,IN,5.0,138.23447299146326
452,AL,IN,6.0,235.92152015793798
453,AL,IN,7.0,709.4471457090804
454,AL,IN,8.0,630.7704698844644
455,AL,IN,9.0,629.7823844064552
456,AL,KS,3.0,348.6602327441671
457,AL,KS,4.0,39.7124870781165
458,AL,KS,5.0,135.6510248932778
459,AL,KS,6.0,264.6364880286057
460,AL,KS,7.0,250.0626087268373
461,AL,KS,8.0,262.20338672970445
462,AL,KS,9.0,267.73400454345824
463,AL,KY,3.0,1136.6705057187694
464,AL,KY,4.0,24.25760682159175
465,AL,KY,5.0,106.69272478424149
466,AL,KY,6.0,189.04966839416676
467,AL,KY,7.0,546.6359039236944
468,AL,KY,8.0,508.2291996611439
469,AL,KY,9.0,505.13489641516156
470,AL,LA,3.0,768.3509150128153
471,AL,LA,4.0,29.209586132827102
472,AL,LA,5.0,85.1926485267194
473,AL,LA,6.0,135.59776534045352
474,AL,LA,7.0,341.9107642400867
475,AL,LA,8.0,348.3171509027318
476,AL,LA,9.0,359.77208485718154
477,AL,MA,3.0,1649.1458622280416
478,AL,MA,4.0,151.45270506718927
479,AL,MA,5.0,352.2053763064576
480,AL,MA,6.0,806.3419186263532
481,AL,MA,7.0,1122.9312689282876
482,AL,MA,8.0,1013.7777571001798
483,AL,MA,9.0,903.2909739715326
484,AL,MD,3.0,2046.233437394882
485,AL,MD,4.0,87.90481241798551
486,AL,MD,5.0,336.31804418826914
487,AL,MD,6.0,885.7771433937455
488,AL,MD,7.0,1429.8710158117287
489,AL,MD,8.0,1351.9581597965755
490,AL,MD,9.0,1308.1708243916955
491,AL,ME,3.0,306.9086438534105
492,AL,ME,4.0,24.043548508394252
493,AL,ME,5.0,74.70206384810712
494,AL,ME,6.0,131.25438764349863
495,AL,ME,7.0,400.2690148818299
496,AL,ME,8.0,440.7307889229909
497,AL,ME,9.0,399.0001961951792
498,AL,MI,3.0,3092.411411297849
499,AL,MI,4.0,230.87288204499188
500,AL,MI,5.0,504.5244329579113
501,AL,MI,6.0,914.6026849970968
502,AL,MI,7.0,2077.286289160204
503,AL,MI,8.0,2291.7163237599198
504,AL,MI,9.0,2160.9973870798767
505,AL,MN,3.0,1502.4565595635431
506,AL,MN,4.0,180.48087944769634
507,AL,MN,5.0,362.2016301918953
508,AL,MN,6.0,677.3174903604084
509,AL,MN,7.0,1017.4744323352912
510,AL,MN,8.0,1228.943051315425
511,AL,MN,9.0,1133.5825163492839
512,AL,MO,3.0,1974.2031753278634
513,AL,MO,4.0,120.73322972154587
514,AL,MO,5.0,408.4091776292994
515,AL,MO,6.0,850.8575926491546
516,AL,MO,7.0,1355.9136508808
517,AL,MO,8.0,1362.9633584256344
518,AL,MO,9.0,1251.1229906935653
519,AL,MS,3.0,55.101314431877476
520,AL,MS,4.0,1.5303143458483266
521,AL,MS,5.0,3.166542195668409
522,AL,MS,6.0,5.303143458483265
523,AL,MS,7.0,16.36851520572451
524,AL,MS,8.0,21.330561330561334
525,AL,MS,9.0,22.300923463714163
526,AL,MT,3.0,457.72351650804274
527,AL,MT,4.0,31.98313961692445
528,AL,MT,5.0,129.22514354274605
529,AL,MT,6.0,288.7917168403295
530,AL,MT,7.0,911.1868723126015
531,AL,MT,8.0,930.3605949563909
532,AL,MT,9.0,838.4525327310081
533,AL,NC,3.0,4446.168960189865
534,AL,NC,4.0,325.31320324607736
535,AL,NC,5.0,997.3728672906802
536,AL,NC,6.0,1707.3139294632426
537,AL,NC,7.0,2691.3125013493714
538,AL,NC,8.0,2820.9716782628434
539,AL,NC,9.0,2967.7158203877852
540,AL,ND,3.0,276.4953587777013
541,AL,ND,4.0,29.01161834486861
542,AL,ND,5.0,94.22355022928276
543,AL,ND,6.0,126.76483142584863
544,AL,ND,7.0,259.44754653581765
545,AL,ND,8.0,288.9905530117056
546,AL,ND,9.0,261.5619004524767
547,AL,NE,3.0,561.9268832669195
548,AL,NE,4.0,50.19973686719892
549,AL,NE,5.0,157.56860172344358
550,AL,NE,6.0,322.23166140935746
551,AL,NE,7.0,519.3906147971351
552,AL,NE,8.0,525.3066159315416
553,AL,NE,9.0,525.3027692713233
554,AL,NH,3.0,347.87112517067493
555,AL,NH,4.0,26.417755344418048
556,AL,NH,5.0,76.30641330166272
557,AL,NH,6.0,147.27583135391927
558,AL,NH,7.0,198.5181125664493
559,AL,NH,8.0,194.98109278237519
560,AL,NH,9.0,166.50079465117554
561,AL,NJ,3.0,1022.7782262790084
562,AL,NJ,4.0,73.37467414786593
563,AL,NJ,5.0,168.351727347365
564,AL,NJ,6.0,418.2735985047691
565,AL,NJ,7.0,600.2442631511179
566,AL,NJ,8.0,796.898793258845
567,AL,NJ,9.0,732.8569435900371
568,AL,NM,3.0,590.4814582946859
569,AL,NM,4.0,63.33882093864819
570,AL,NM,5.0,152.94002856406038
571,AL,NM,6.0,333.72115049729143
572,AL,NM,7.0,318.7610746034715
573,AL,NM,8.0,324.27256220754674
574,AL,NM,9.0,376.9663631889816
575,AL,NV,3.0,2632.8279910261735
576,AL,NV,4.0,187.6096377071975
577,AL,NV,5.0,599.9195149081667
578,AL,NV,6.0,1522.4708473846358
579,AL,NV,7.0,2390.6693413062994
580,AL,NV,8.0,2532.0997646493324
581,AL,NV,9.0,2497.2308940443677
582,AL,NY,3.0,4343.107584344281
583,AL,NY,4.0,273.23783547833534
584,AL,NY,5.0,717.6222144112701
585,AL,NY,6.0,1749.139950110394
586,AL,NY,7.0,1712.665121268309
587,AL,NY,8.0,1812.0648273157906
588,AL,NY,9.0,1795.2700514159005
589,AL,OH,3.0,2085.284332014171
590,AL,OH,4.0,131.31182670706892
591,AL,OH,5.0,385.55163950230843
592,AL,OH,6.0,813.1365337906228
593,AL,OH,7.0,1398.0141793980229
594,AL,OH,8.0,1363.5673534450325
595,AL,OH,9.0,1318.4184671569456
596,AL,OK,3.0,982.7985826957096
597,AL,OK,4.0,123.5090829073157
598,AL,OK,5.0,392.44107828926167
599,AL,OK,6.0,744.0498388034225
600,AL,OK,7.0,848.7221926032134
601,AL,OK,8.0,857.3321259103424
602,AL,OK,9.0,843.9456814864442
603,AL,OR,3.0,701.4113205398891
604,AL,OR,4.0,136.6266626612299
605,AL,OR,5.0,332.2654077451399
606,AL,OR,6.0,681.1079295936302
607,AL,OR,7.0,1031.9616090356976
608,AL,OR,8.0,1083.4177438039737
609,AL,OR,9.0,994.6206471603285
610,AL,PA,3.0,3626.3831694250475
611,AL,PA,4.0,283.7143555595369
612,AL,PA,5.0,880.9426908958135
613,AL,PA,6.0,1605.3429535446498
614,AL,PA,7.0,2318.3001624842236
615,AL,PA,8.0,2506.109265474362
616,AL,PA,9.0,2295.590572041415
617,AL,PR,3.0,375.91540822734635
618,AL,PR,4.0,28.467816992823728
619,AL,PR,5.0,57.59386710426413
620,AL,PR,6.0,163.93831590291214
621,AL,PR,7.0,199.8515575427736
622,AL,PR,8.0,152.5085569901228
623,AL,PR,9.0,157.63988546710365
624,AL,RI,3.0,331.0197792424899
625,AL,RI,4.0,32.88212386729573
626,AL,RI,5.0,105.11401932150079
627,AL,RI,6.0,212.0038568112035
628,AL,RI,7.0,245.4841371561002
629,AL,RI,8.0,241.09134961462155
630,AL,RI,9.0,233.42451322927823
631,AL,SC,3.0,1445.1080738114908
632,AL,SC,4.0,67.41456156034204
633,AL,SC,5.0,283.32381966493386
634,AL,SC,6.0,589.2616187747242
635,AL,SC,7.0,994.428215484942
636,AL,SC,8.0,1017.6605821288503
637,AL,SC,9.0,987.9112023862076
638,AL,SD,3.0,186.99686980306086
639,AL,SD,4.0,24.712426225923583
640,AL,SD,5.0,111.4829624386296
641,AL,SD,6.0,183.80461133544682
642,AL,SD,7.0,337.2215725411982
643,AL,SD,8.0,369.8143066935685
644,AL,SD,9.0,332.96412076523325
645,AL,TN,3.0,542.0935789611243
646,AL,TN,4.0,8.268832523354284
647,AL,TN,5.0,32.9111931558088
648,AL,TN,6.0,58.81997432083691
649,AL,TN,7.0,243.71012054669467
650,AL,TN,8.0,235.67734201319408
651,AL,TN,9.0,250.61253744011125
652,AL,TT,3.0,11.691141404268528
653,AL,TT,4.0,1.4059444661712943
654,AL,TT,5.0,3.079780993351584
655,AL,TT,6.0,5.514274540477122
656,AL,TT,7.0,7.180820335066436
657,AL,TT,8.0,7.084536876564607
658,AL,TT,9.0,5.734642788368958
659,AL,TX,3.0,14862.436116724877
660,AL,TX,4.0,2003.5940581412929
661,AL,TX,5.0,5861.257318432674
662,AL,TX,6.0,10695.148623426037
663,AL,TX,7.0,11478.674936865287
664,AL,TX,8.0,12629.350130956393
665,AL,TX,9.0,13241.974932178315
666,AL,UT,3.0,1275.3373432505393
667,AL,UT,4.0,205.4555210152344
668,AL,UT,5.0,415.00438700976304
669,AL,UT,6.0,789.5400919750025
670,AL,UT,7.0,1334.784326323305
671,AL,UT,8.0,1529.6065838290465
672,AL,UT,9.0,1515.6090898476484
673,AL,VA,3.0,7860.786840513592
674,AL,VA,4.0,485.4582941895213
675,AL,VA,5.0,1245.972832167821
676,AL,VA,6.0,2698.5688736426578
677,AL,VA,7.0,3921.67771765566
678,AL,VA,8.0,4259.943809102297
679,AL,VA,9.0,4138.378473242041
680,AL,VI,3.0,113.71614705053888
681,AL,VI,4.0,9.872198184875739
682,AL,VI,5.0,24.412623157677075
683,AL,VI,6.0,75.71517865744718
684,AL,VI,7.0,142.2605892495689
685,AL,VI,8.0,87.49546442761827
686,AL,VI,9.0,40.24394632281281
